time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450300000	14.6265	20.507	4.83524	2.72766	0.473781	lidar	0.636566	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3911	20.5932	4.84998	2.7646	0.500963	radar	1.31781	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1447	20.6675	4.865	2.7969	0.508149	lidar	0.754553	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9086	20.7383	4.87207	2.83276	0.53009	radar	0.379207	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6361	20.8013	4.91509	2.86781	0.537847	lidar	1.82436	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3888	20.8316	4.92021	2.92192	0.590987	radar	2.35094	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1416	20.8734	4.92345	2.95507	0.594658	lidar	0.164782	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9102	20.9319	4.91702	2.97635	0.583432	radar	1.7647	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7064	20.9777	4.8718	2.99843	0.577575	lidar	1.84871	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4552	21.0178	4.89055	3.02658	0.578706	radar	2.58883	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2081	21.0553	4.90157	3.05117	0.573702	lidar	0.165113	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9697	21.075	4.89859	3.08237	0.582028	radar	0.934725	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7252	21.0464	4.88321	3.126	0.598043	lidar	1.86414	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4783	21.0329	4.88256	-3.12187	0.604197	radar	1.0718	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2598	21.0273	4.84975	-3.09347	0.603508	lidar	0.671637	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0062	20.9886	4.85949	-3.05394	0.613591	radar	4.12893	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7932	20.9511	4.81826	-3.01861	0.620223	lidar	0.58157	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5447	20.951	4.81276	-3.01512	0.565866	radar	5.65517	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2674	20.9778	4.87516	-3.01106	0.537001	lidar	3.40589	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0283	20.9596	4.87199	-2.99235	0.52544	radar	1.01979	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83081	20.9213	4.81435	-2.96478	0.528884	lidar	1.68642	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59463	20.914	4.7914	-2.96817	0.472444	radar	2.32586	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39892	20.8622	4.73764	-2.93928	0.479862	lidar	1.12536	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.1758	20.8213	4.72832	-2.91747	0.479285	radar	1.49848	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88882	20.7886	4.80529	-2.90648	0.463019	lidar	2.08513	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
